Drug Name,gene_name,entrez
inhibitor idd 384,AKR1B1,231
dithioerythritol,TK1,7083
d-tartaric acid,B3GAT1,27087
d-tartaric acid,TREM1,54210
d-tartaric acid,DDX6,1656
d-tartaric acid,HIF1AN,55662
d-tartaric acid,ATP6V1C1,528
n-hydroxy-4-phosphono-butanamide,TPI1,7167
rutin,AKR1C3,8644
rutin,CBR1,873
(4e)-4-aminohex-4-enoic acid,ABAT,18
aica ribonucleotide,ATIC,471
"2,4-dihydroxy-trans cinnamic acid",CTRB1,1504
bis(5-amidino-benzimidazolyl)methane,PRSS1,5644
prasterone,ESR2,2100
prasterone,ESR1,2099
prasterone,GABRA1,2554
prasterone,GRIN1,2902
prasterone,AR,367
prasterone,PPARA,5465
prasterone,SIGMAR1,10280
prasterone,NR1I2,8856
prasterone,NR1I3,9970
2-phospho-d-glyceric acid,ENO3,2027
porphyrin fe(iii),MB,4151
"2,3,4,5,6-pentafluorobenzyl alcohol",ADH1C,126
"(3r)-4-(p-toluenesulfonyl)-1,4-thiazane-3-carboxylicacid-l-phenylalanine ethyl ester",FKBP1A,2280
bis(adenosine)-5'-pentaphosphate,adk,132
bis(adenosine)-5'-pentaphosphate,adk,132
bis(adenosine)-5'-pentaphosphate,adk,132
bis(adenosine)-5'-pentaphosphate,AK2,204
bis(adenosine)-5'-pentaphosphate,AK8,158067
bis(adenosine)-5'-pentaphosphate,adk,132
bis(adenosine)-5'-pentaphosphate,AK1,203
"{3-[3-(3,4-dimethoxy-phenyl)-1-(1-{1-[2-(3,4,5-trimethoxy-phenyl)-butyryl]-piperidin-2yl}-vinyloxy)-propyl]-phenoxy}-acetic acid",FKBP1A,2280
"2-{2-hydroxy-[1,1'-biphenyl]-3-yl}-1h-1,3-benzodiazole-5-carboximidamide",PRSS1,5644
"2-{2-hydroxy-[1,1'-biphenyl]-3-yl}-1h-1,3-benzodiazole-5-carboximidamide",F2,2147
"2-{2-hydroxy-[1,1'-biphenyl]-3-yl}-1h-1,3-benzodiazole-5-carboximidamide",PLAU,5328
isocitric acid,ACO2,50
isocitric acid,IDH2,3418
isocitric acid,IDH1,3417
"1,2-dihexadecanoyl-sn-glycero-3-phosphoethanolamine",RHO,6010
(s)-wiskostatin,WAS,7454
l-phospholactate,PKM,5315
3-(oxalyl-amino)-naphthalene-2-carboxylic acid,PTPN1,5770
[3-(dodecanoylamino)propyl](hydroxy)dimethylammonium,SLC25A4,291
"nalpha-(2-naphthylsulfonylglycyl)-3-amidino-d,l-phenylalanine-isopropylester",PRSS1,5644
phosphorylcolamine,PRKCB,5579
cra_17693,PRSS1,5644
(3r)-1-acetyl-3-methylpiperidine,PPIA,5478
camphor,TRPV1,7442
camphor,TRPV3,162514
camphor,TRPA1,8989
camphor,TRPM8,79054
n-alpha-(2-naphthylsulfonyl)-n(3-amidino-l-phenylalaninyl)isopipecolinic acid methyl ester,PRSS1,5644
n-benzyl-4-sulfamoyl-benzamide,CA2,760
1-naphthaleneacetic acid,SKP1,6500
s-adenosyl-l-homocysteine,PCMT1,5110
s-adenosyl-l-homocysteine,PNMT,5409
s-adenosyl-l-homocysteine,PRMT3,10196
s-adenosyl-l-homocysteine,HNMT,3176
s-adenosyl-l-homocysteine,TRDMT1,1787
s-adenosyl-l-homocysteine,GNMT,27232
s-adenosyl-l-homocysteine,PRMT1,3276
s-adenosyl-l-homocysteine,SETD7,80854
s-adenosyl-l-homocysteine,DPH5,51611
s-adenosyl-l-homocysteine,COMTD1,118881
s-adenosyl-l-homocysteine,GAMT,2593
"3,4-dihydroxy-1-methylquinolin-2(1h)-one",PIM1,5292
4-phospho-l-threonic acid,RPIA,22934
2-methoxy-3-isopropylpyrazine,LCN9,392399
4-[5-[2-(1-phenyl-ethylamino)-pyrimidin-4-yl]-1-methyl-4-(3-trifluoromethylphenyl)-1h-imidazol-2-yl]-piperidine,MAPK14,1432
acetoacetic acid,FAH,2184
7-thionicotinamide-adenine-dinucleotide phosphate,NNT,23530
"(5-hydroxyindolo[1,2-a]quinazolin-7-yl)acetic acid",CSNK2A1,1457
beta-(2-naphthyl)-alanine,PIN1,5300
beta-(2-naphthyl)-alanine,F2,2147
hemi-babim,PRSS1,5644
hemi-babim,F2,2147
cra_10991,PRSS1,5644
"3-[3-(2,3-dihydroxy-propylamino)-phenyl]-4-(5-fluoro-1-methyl-1h-indol-3-yl)-pyrrole-2,5-dione",GSK3B,2932
m-cresol,INS,3630
coa-s-trimethylene-acetyl-tryptamine,AANAT,15
fusicoccin,YWHAE,7531
pyrazolanthrone,MAPK10,5602
pyrazolanthrone,MAPK8IP1,9479
pyrazolanthrone,MAPK8,5599
pyrazolanthrone,TTK,7272
4-flourobenzenesulfonamide,CA2,760
dimethylallyl diphosphate,FDPS,2224
dimethylallyl diphosphate,IDI1,3422
(rp)-camps,PRKAR1A,5573
piclamilast,PDE4A,5141
piclamilast,PDE4B,5142
piclamilast,PDE4C,5143
piclamilast,PDE4D,5144
sb-409513,GSK3B,2932
4-nitrocatechol sulfate,ARSA,410
monoisopropylphosphorylserine,PRSS2,5645
monoisopropylphosphorylserine,PRSS1,5644
monoisopropylphosphorylserine,ACHE,43
"n-[(3z)-5-tert-butyl-2-phenyl-1,2-dihydro-3h-pyrazol-3-ylidene]-n'-(4-chlorophenyl)urea",MAPK14,1432
"1-ter-butyl-3-p-tolyl-1h-pyrazolo[3,4-d]pyrimidin-4-ylamine",HCK,3055
"1-ter-butyl-3-p-tolyl-1h-pyrazolo[3,4-d]pyrimidin-4-ylamine",RET,5979
"[1-(1-methyl-4,5-dioxo-pent-2-enylcarbamoyl)-2-phenyl-ethyl]-carbamic acid benzyl ester",CTSF,8722
"3h-indole-5,6-diol",LTF,4057
"adenosine 3',5'-diphosphate",HS3ST1,9957
"adenosine 3',5'-diphosphate",SULT2B1,6820
"adenosine 3',5'-diphosphate",RNASE2,6036
"adenosine 3',5'-diphosphate",SULT1A1,6817
"adenosine 3',5'-diphosphate",HS3ST3A1,9955
"adenosine 3',5'-diphosphate",RNASE1,6035
"adenosine 3',5'-diphosphate",SULT2A1,6822
"adenosine 3',5'-diphosphate",SULT1E1,6783
"adenosine 3',5'-diphosphate",NDST1,3340
"adenosine 3',5'-diphosphate",SULT1B1,27284
o3-sulfonylgalactose,MBL2,4153
phosphoenolpyruvate,ENO3,2027
phosphoenolpyruvate,synC,81493
phosphoenolpyruvate,PCK1,5105
2-{[4-(2-acetylamino-2-pentylcarbamoyl-ethyl)-naphthalen-1-yl]-oxalyl-amino}-benzoic acid,PTPN1,5770
"l-n(omega)-nitroarginine-2,4-l-diaminobutyric amide",NOS3,4846
"l-n(omega)-nitroarginine-2,4-l-diaminobutyric amide",NOS1,4842
beta-d-glucopyranose spirohydantoin,PYGM,5837
n-butyl isocyanide,MB,4151
"2,3,5,6-tetrafluoro-4-methoxy-benzamide",LGALS3,3958
desulfo-coenzyme a,cat,847
ap-22408,LCK,3932
4-[hydroxy-[methyl-phosphinoyl]]-3-oxo-butanoic acid,FAH,2184
canavanine,NOS3,4846
"(9r,10r)-9-(s-glutathionyl)-10-hydroxy-9,10-dihydrophenanthrene",GSTP1,2950
"(9r,10r)-9-(s-glutathionyl)-10-hydroxy-9,10-dihydrophenanthrene",GSTM1,2944
4r-fluoro-n6-ethanimidoyl-l-lysine,NOS2,4843
"[4-(6-chloro-naphthalene-2-sulfonyl)-piperazin-1-yl]-(3,4,5,6-tetrahydro-2h-[1,4']bipyridinyl-4-yl)-methanone",PRSS1,5644
o-acetyl-l-serine,PTGS1,5742
2-deoxy-d-glucitol 6-(e)-vinylhomophosphonate,ISYNA1,51477
3'-phosphate-adenosine-5'-diphosphate,RNASE1,6035
"(5s,7r,8s,9s,10r)-3-amino-8,9,10-trihydroxy-7-(hydroxymethyl)-6-oxa-1,3-diazaspiro[4.5]decane-2,4-dione",PYGM,5837
"n,n-dimethylformamide",CELA1,1990
"n,n-dimethylformamide",REN,5972
tetrabutylammonium ion,IGKC,3514
kaempherol,UGT3A1,133688
5-bromonicotinamide,ART1,417
[1-(4-fluorobenzyl)cyclobutyl]methyl (1s)-1-[oxo(1h-pyrazol-5-ylamino)acetyl]pentylcarbamate,CTSK,1513
cordycepin triphosphate,PAPOLA,10914
uridine diphosphate glucose,GYG1,2992
uridine diphosphate glucose,galT,2592
uridine diphosphate glucose,GALE,2582
uridine diphosphate glucose,galE,2582
uridine diphosphate glucose,GLT6D1,360203
"inositol 1,3,4,5-tetrakisphosphate",AKT1,207
"inositol 1,3,4,5-tetrakisphosphate",PLEKHA4,57664
"inositol 1,3,4,5-tetrakisphosphate",BTK,695
"inositol 1,3,4,5-tetrakisphosphate",DAPP1,27071
"inositol 1,3,4,5-tetrakisphosphate",ITPKA,3706
"inositol 1,3,4,5-tetrakisphosphate",CYTH2,9266
"inositol 1,3,4,5-tetrakisphosphate",CYTH3,9265
"inositol 1,3,4,5-tetrakisphosphate",PDPK1,5170
5'-guanosine-diphosphate-monothiophosphate,ARF6,382
5'-guanosine-diphosphate-monothiophosphate,TGM3,7053
5'-guanosine-diphosphate-monothiophosphate,RAB11A,8766
ru79256,SRC,6714
"1,4-dithio-alpha-d-glucopyranose",AMY2B,280
[1-(1-benzyl-3-hydroxy-2-oxo-propylcarbamoyl)-2-phenyl-ethyl]-carbamic acid benzyl ester,CTSF,8722
epothilone d,TUBA3C,7278
epothilone d,TUBB,203068
epothilone d,TUBB1,81027
epothilone d,TUBB4B,10383
epothilone d,TUBB4A,10382
epothilone d,TUBA4A,7277
epothilone d,TUBB3,10381
epothilone d,TUBA1C,84790
epothilone d,TUBA8,51807
epothilone d,TUBA1B,10376
epothilone d,TUBA1A,7846
bis(5-amidino-2-benzimidazolyl)methanone,PRSS1,5644
"n-hydroxy 1n(4-methoxyphenyl)sulfonyl-4-(z,e-n-methoxyimino)pyrrolidine-2r-carboxamide",MMP3,4314
benzophenone,ESR1,2099
benzophenone,ESR2,2100
"3,4-dihydroxycinnamic acid",MIF,4282
2-amino-3-methyl-1-pyrrolidin-1-yl-butan-1-one,DPP4,1803
"4-[5-(trans-4-aminocyclohexylamino)-3-isopropylpyrazolo[1,5-a]pyrimidin-7-ylamino]-n,n-dimethylbenzenesulfonamide",CDK2,1017
"16,17-androstene-3-ol",NR1I3,9970
"n,n-bis(3-(d-gluconamido)propyl)deoxycholamide",IGF1,3479
"n,n-bis(3-(d-gluconamido)propyl)deoxycholamide",PPARA,5465
hyperforin,PTGS1,5742
hyperforin,NR1I2,8856
hyperforin,ALOX5,240
n6-benzyl adenosine-5'-diphosphate,SRC,6714
2-(2f-benzothiazolyl)-5-styryl-3-(4f-phthalhydrazidyl)tetrazolium chloride,HPGDS,27306
sucrosofate,FGF1,2246
sucrosofate,FGFR2,2263
"1-ethyl-pyrrolidine-2,5-dione",NSF,4905
"1-ethyl-pyrrolidine-2,5-dione",ERO1B,56605
2-(2-hydroxy-5-methoxy-phenyl)-1h-benzoimidazole-5-carboxamidine,PRSS1,5644
2-(2-hydroxy-5-methoxy-phenyl)-1h-benzoimidazole-5-carboxamidine,PLAU,5328
ru85493,SRC,6714
s-hydroxycysteine,C3,718
s-hydroxycysteine,GSTP1,2950
s-hydroxycysteine,ACAT2,39
s-hydroxycysteine,GSTA1,2938
s-hydroxycysteine,PMP2,5375
putrescine,ODC1,4953
putrescine,AMD1,262
putrescine,ADRB1,153
putrescine,ADRB2,154
pentanal,PRKACA,5566
"maltosyl-alpha (1,4)-d-gluconhydroximo-1,5-lactam",AMY2A,279
carboxymycobactin s,LCN2,3934
duroquinone,NQO1,1728
"5,7-dichlorokynurenic acid",GRIN1,2902
7-hydroxystaurosporine,PDPK1,5170
5-amidino-benzimidazole,PRSS1,5644
balanol analog 2,PRKACA,5566
lg-100268,RXRB,6257
formic acid,HMOX1,3162
formic acid,RNASE1,6035
formic acid,CTBP1,1487
formic acid,CASK,8573
formic acid,GGACT,87769
formic acid,PVALB,5816
formic acid,ACYP2,98
formic acid,NOS1,4842
formic acid,GPHN,10243
formic acid,CYTH2,9266
formic acid,FGF1,2246
formic acid,CA2,760
(s)-blebbistatin,MYH14,79784
bisindolylmaleimide viii,PDPK1,5170
bisindolylmaleimide viii,DMPK,1760
ru78262,SRC,6714
"1-(2,6-dichlorophenyl)-5-(2,4-difluorophenyl)-7-piperidin-4-yl-3,4-dihydroquinolin-2(1h)-one",MAPK14,1432
"2-amino-n,3,3-trimethylbutanamide",MMP9,4318
ar-ao-14418,GSK3B,2932
gpi-1046,FKBP1A,2280
inhibitor of p38 kinase,MAPK14,1432
rolipram,PDE4D,5144
rolipram,PDE4B,5142
"1,4-butanediol",MAN1B1,11253
"1,4-butanediol",PLA2G2A,5320
"1,4-butanediol",PLA2G2E,30814
taurine,GLRA1,2741
taurine,GRIN2B,2904
taurine,GLRA2,2742
taurine,GLRA3,8001
taurine,GABRA1,2554
taurine,GABBR1,2550
"3,5-dimethyl-1-(3-nitrophenyl)-1h-pyrazole-4-carboxylic acid ethyl ester",PDE4B,5142
"3,5-dimethyl-1-(3-nitrophenyl)-1h-pyrazole-4-carboxylic acid ethyl ester",PDE4D,5144
"7-methyl-7,8-dihydroguanosine-5'-diphosphate",DCPS,28960
"7-methyl-7,8-dihydroguanosine-5'-diphosphate",EIF4E,1977
cytidine 3'-monophosphate,RNASE1,6035
phosphonotyrosine,HCK,3055
phosphonotyrosine,SRC,6714
phosphonotyrosine,KIT,3815
phenylethane boronic acid,CTRB1,1504
al5424,CA2,760
"2'-deoxyuridine 5'-alpha,beta-imido-triphosphate",dut,1854
"2'-deoxyuridine 5'-alpha,beta-imido-triphosphate",dut,1854
di-stearoyl-3-sn-phosphatidylethanolamine,PSAP,5660
trifluoroacetonyl coenzyme a,CS,1431
"hg9a-9, nonanoyl-n-hydroxyethylglucamide",PDE3B,5140
guanosine-5'-monophosphate,GUK1,2987
guanosine-5'-monophosphate,DLG4,1742
guanosine-5'-monophosphate,GMPR,2766
guanosine-5'-monophosphate,PDE5A,8654
guanosine-5'-monophosphate,HINT1,3094
guanosine-5'-monophosphate,ATIC,471
guanosine-5'-monophosphate,TGM3,7053
guanosine-5'-monophosphate,gpt,2875
o-benzylsulfonyl-serine,PRSS2,5645
6-(n-phenylcarbamyl)-2-naphthalenecarboxamidine,PLAU,5328
methyl alpha-d-mannoside,MBL2,4153
2(s)-amino-6-boronohexanoic acid,ARG1,383
cocarboxylase,por,5447
6((s)-3-benzylpiperazin-1-yl)-3-(naphthalen-2-yl)-4-(pyridin-4-yl)pyrazine,MAPK14,1432
methyl n-{[(1r)-1-({1-[(benzyloxy)carbonyl]-l-prolyl-6-ammonio-l-norleucyl}amino)-2-phenylethyl](hydroxy)phosphoryl}-l-alanyl-l-prolinate,TLL2,7093
cholesterol sulfate,RORA,6095
coenzyme a,DBI,1622
coenzyme a,CRAT,1384
coenzyme a,HMGCR,3156
coenzyme a,KAT5,10524
coenzyme a,ACAT2,39
coenzyme a,CS,1431
coenzyme a,KAT2A,2648
coenzyme a,KAT2B,8850
coenzyme a,cit,11113
3-methylpyridine,MMP13,4322
3-methylpyridine,MMP3,4314
3-bromo-7-nitroindazole,NOS3,4846
3-bromo-7-nitroindazole,NOS1,4842
3-bromo-7-nitroindazole,NOS2,4843
"2-[3,4-dihydroxy-2-hydroxymethyl-5-(2-hydroxy-nonyl)-tetrahydro-furan-2-yloxy]-6-hydroxymethyl-tetra hydro-pyran-3,4,5-triol",SERPINA1,5265
"5-(aminomethyl)-6-(2,4-dichlorophenyl)-2-(3,5-dimethoxyphenyl)pyrimidin-4-amine",DPP4,1803
alpha-d-glucose 6-phosphate,HK1,3098
alpha-d-glucose 6-phosphate,PYGM,5837
alpha-d-glucose 6-phosphate,GPI,2821
alpha-d-glucose 6-phosphate,AKR1B1,231
1-(2-fluorobenzyl)-3-butyl-8-(n-acetyl-4-aminobenzyl)-xanthine,PCK1,5105
staurosporine,LCK,3932
staurosporine,PIM1,5292
staurosporine,ITK,3702
staurosporine,SYK,6850
staurosporine,MAPKAPK2,9261
staurosporine,GSK3B,2932
staurosporine,CSK,1445
staurosporine,CDK2,1017
staurosporine,PIK3CG,5294
staurosporine,PDPK1,5170
staurosporine,PRKCQ,5588
staurosporine,ZAP70,7535
staurosporine,CHRM1,1128
n-(phosphonoacetyl)-l-ornithine,OTC,5009
"5-(2-fluoro-5-{(1e)-3-[3-hydroxy-2-(methoxycarbonyl)phenoxy]-1-propen-1-yl}phenyl)-1,2-oxazole-3-carboxylic acid",PTPN1,5770
r048-8071,LSS,4047
amido phenyl pyruvic acid,TPSB2,64499
alrestatin,AKR1B1,231
fidarestat,AKR1B1,231
fidarestat,AKR1B10,57016
n-{(4s)-4-amino-5-[(2-aminoethyl)amino]pentyl}-n'-nitroguanidine,NOS3,4846
n-{(4s)-4-amino-5-[(2-aminoethyl)amino]pentyl}-n'-nitroguanidine,NOS1,4842
"(1r,2r,3s,4r,6s)-3,4,6-trihydroxy-5-{[(s)-hydroxy(3-hydroxy-2-oxopropoxy)phosphoryl]oxy}-1,2-cyclohexanediyl bis[dihydrogen (phosphate)]",TUB,7275
n-cyclohexyl-n'-(4-iodophenyl)urea,EPHX2,2053
epicaptopril,ACE,1636
tridolgosir,MAN2A1,4124
hexadecanesulfonyl fluoride,PPT1,5538
s-acetyl-cysteine,KAT5,10524
n-[3-(aminomethyl)benzyl]acetamidine,NOS3,4846
n-[3-(aminomethyl)benzyl]acetamidine,NOS2,4843
n-[3-(aminomethyl)benzyl]acetamidine,NOS1,4842
amylamine,PRSS1,5644
n-[(furan-2-yl)carbonyl]-(s)-leucyl-(r)-[1-amino-2(1h-indol-3-yl)ethyl]-phosphonic acid,ADAM28,10863
(+)-2-(4-biphenyl)propionic acid,PTGS1,5742
"1,2,4-triazole-carboxamidine",NOS3,4846
2-{4-[4-(4-chloro-phenoxy)-benzenesulfonyl]-tetrahydro-pyran-4-yl}-n-hydroxy-acetamide,MMP13,4322
indirubin-3'-monoxime,CDK5,1020
indirubin-3'-monoxime,CDK1,983
indirubin-3'-monoxime,GSK3B,2932
indirubin-3'-monoxime,CDK5R1,8851
indirubin-3'-monoxime,CDK2,1017
indirubin-3'-monoxime,AHR,196
ribose-5-phosphate,rpiA,22934
gabaculine,OAT,4942
prostaglandin d2,AKR1C3,8644
prostaglandin d2,PTGDR2,11251
(s)-ampa,GRIA2,2891
3-[4-(1-formylpiperazin-4-yl)-benzylidenyl]-2-indolinone,FGFR2,2263
3-[4-(1-formylpiperazin-4-yl)-benzylidenyl]-2-indolinone,FGFR1,2260
adenosine-5-diphosphoribose,EEF2,1938
adenosine-5-diphosphoribose,GAPDH,2597
adenosine-5-diphosphoribose,SIRT5,23408
adenosine-5-diphosphoribose,SIRT3,23410
"n-[3-[(1-aminoethyl)(hydroxy)phosphoryl]-2-(1,1'-biphenyl-4-ylmethyl)propanoyl]alanine",MME,4311
"n-[3-[(1-aminoethyl)(hydroxy)phosphoryl]-2-(1,1'-biphenyl-4-ylmethyl)propanoyl]alanine",LTA4H,4048
cra_16847,PRSS1,5644
triglu-5-formyl-tetrahydrofolate,SHMT1,6470
delta-amino valeric acid,GATM,2628
delta-amino valeric acid,ALAD,210
n-(2-flouro-benzyl)-4-sulfamoyl-benzamide,CA2,760
way-151693,MMP13,4322
"2-(oxalyl-amino)-4,7-dihydro-5h-thieno[2,3-c]thiopyran-3-carboxylic acid",PTPN1,5770
biliverdine ix alpha,HMOX1,3162
biliverdine ix alpha,MB,4151
biliverdine ix alpha,BLVRB,645
6-phospho-d-gluconic acid,PGD,5226
6-phospho-d-gluconic acid,GPI,2821
l-n(omega)-nitroarginine-(4r)-amino-l-proline amide,NOS3,4846
l-n(omega)-nitroarginine-(4r)-amino-l-proline amide,NOS1,4842
triglyme,PFN2,5217
triglyme,FYN,2534
triglyme,PPIF,10105
aminooxyacetic acid,AGXT,189
"1-{2-[2-(2-methoxyethoxy)ethoxy]ethoxy}-4-(1,1,3,3-tetramethylbutyl)benzene",PLA2G2A,5320
bis-benzamidine,PRSS1,5644
phosphoaminophosphonic acid guanylate ester,RAB8B,51762
cra_17312,PRSS1,5644
"3,5-difluorobenzenesulfonamide",CA2,760
a disubstituted succinyl caprolactam hydroxymate mmp3inhibitor,MMP3,4314
"4-(2,4-dimethyl-thiazol-5-yl)-pyrimidin-2-ylamine",CDK2,1017
"4-(2,4-dimethyl-thiazol-5-yl)-pyrimidin-2-ylamine",CCNA2,890
5-phospho-d-arabinohydroxamic acid,GPI,2821
isatin,MAOB,4129
fr221647,ADA,100
cytidine,UCK2,7371
adenosine-2'-5'-diphosphate,RNASE3,6037
adenosine-2'-5'-diphosphate,RNASE1,6035
adenosine-2'-5'-diphosphate,RNASE2,6036
"(s,r)-fidarestat",AKR1B1,231
2-chlorodideoxyadenosine,HSP90B1,7184
"2,4-diamino-5-methyl-6-[(3,4,5-trimethoxy-n-methylanilino)methyl]pyrido[2,3-d]pyrimidine",DHFR,1719
"3,5-dinitrocatechol",COMT,1312
"[3,5-dibromo-4-(4-hydroxy-3-phenethylcarbamoyl-phenoxy)-phenyl]-acetic acid",THRB,7068
leucine - reduced carbonyl,SPINK6,404203
2-aminoethanimidic acid,CTSB,1508
hadacidin,purA,5813
protoporphyrin ix containing co,PTGS1,5742
protoporphyrin ix containing co,CYCS,54205
zk-806450,PRSS1,5644
cumidine,CELA1,1990
daidzin,ALDH2,217
olomoucine,CDK2,1017
olomoucine,CDK5,1020
olomoucine,CDK1,983
olomoucine,MAPK1,5594
cp-271485,MMP12,4321
4-carboxycinnamic acid,HBA1,3039
4-carboxycinnamic acid,HBB,3043
n-1-methylheptylformamide,ADH1C,126
zenarestat,AKR1B1,231
chlorophyll a,blm,641
xanthine,gpt,2875
n1-(1-dimethylcarbamoyl-2-phenyl-ethyl)-2-oxo-n4-(2-pyridin-2-yl-ethyl)-succinamide,CTSH,1512
"s,s'-(1,4-phenylene-bis(1,2-ethanediyl))bis-isothiourea",NOS3,4846
pyridoxamine-5'-phosphate,BCAT2,587
1-hydroxy-2-isopropylguanidine,NOS1,4842
"1,2-diacyl-sn-glycero-3-phosphoinositol",PITPNA,5306
cyclo-tetrametavanadate,C3,718
3-amino-4-oxybenzyl-2-butanone,CTSB,1508
k-252a,MET,4233
k-252a,MAP2K1,5604
3-sulfino-l-alanine,blm,641
3-sulfino-l-alanine,PAPOLA,10914
3-sulfino-l-alanine,GSR,2936
3-sulfino-l-alanine,PRDX2,7001
3-[(3-sec-butyl-4-hydroxybenzoyl)amino]azepan-4-yl 4-(2-hydroxy-5-methoxybenzoyl)benzoate,PRKACA,5566
"(2s,3s,4r,5s)-2-(4-amino-4,5-dihydro-1h-pyrrolo[3,2-d]pyrimidin-7-yl)-5-[(methylsulfanyl)methyl]-3,4-pyrrolidinediol",MTAP,4507
(r)-propylene glycol,LYZ,4069
hydroxy-phenyl-acetic acid 8-methyl-8-aza-bicyclo[3.2.1]oct-3-yl ester,CES1,1066
5'-o-(n-ethyl-sulfamoyl)adenosine,HINT1,3094
n-sulfo-flavin mononucleotide,HAO1,54363
zinc trihydroxide,GSTM1,2944
propidium,ACHE,43
"9,10-deepithio-9,10-didehydroacanthifolicin",PPP1CC,5501
"1,8-di-hydroxy-4-nitro-xanthen-9-one",CSNK2A1,1457
malonic acid,SRC,6714
malonic acid,SNRPA,6626
1-acetyl-4-(4-{4-[(2-ethoxyphenyl)thio]-3-nitrophenyl}pyridin-2-yl)piperazine,ITGAL,3683
myristoyl-coa,NMT1,4836
myristoyl-coa,NMT2,9397
2'-deoxyguanosine-5'-triphosphate,NME1,4830
adenosine-5'-ditungstate,HINT1,3094
"2,4-dihydroxy-7-(methyloxy)-2h-1,4-benzoxazin-3(4h)-one",LCTL,197021
equilin,HSD17B1,3292
equilin,ESR1,2099
"2',3'-dideoxyadenosine triphosphate",DNTT,1791
"3-(4-fluorophenyl)-1-hydroxy-2-(pyridin-4-yl)-1h-pyrrolo[3,2-b]pyridine",MAPK14,1432
uridine-diphosphate-n-acetylgalactosamine,EXTL2,2135
uridine-diphosphate-n-acetylgalactosamine,UAP1,6675
uridine-diphosphate-n-acetylgalactosamine,GALE,2582
uridine-diphosphate-n-acetylgalactosamine,ABO,28
"4-[(4-imidazo[1,2-a]pyridin-3-ylpyrimidin-2-yl)amino]benzenesulfonamide",CDK2,1017
2-bromoacetyl group,PTGS1,5742
malonate ion,SDF2,6388
(+)-rutamarin alcohol,GAPDHS,26330
7-nitroindazole,NOS3,4846
7-nitroindazole,NOS2,4843
pyridoxine phosphate,ODC1,4953
"hexane-1,6-diol",HRAS,3265
"hexane-1,6-diol",NR3C1,2908
"hexane-1,6-diol",PLA2G1B,5319
(r)-n-methyl-n-2-propynyl-1-indanamine,MAOB,4129
furoyl-leucine,ADAM28,10863
s-methylcysteine,CTSD,1509
s-methylcysteine,MGMT,4255
dpb-t,NT5M,56953
"n-[4-hydroxymethyl-cyclohexan-6-yl-1,2,3-triol]-4,6-dideoxy-4-aminoglucopyranoside",AMY2A,279
"n-[4-hydroxymethyl-cyclohexan-6-yl-1,2,3-triol]-4,6-dideoxy-4-aminoglucopyranoside",AMY2B,280
al7089a,CA2,760
"4-(aminosulfonyl)-n-[(2,4,6-trifluorophenyl)methyl]-benzamide",CA2,760
"2,6-diamino-(s)-9-[2-(phosphonomethoxy)propyl]purine",PNP,4860
"3,8-diamino-6-phenyl-5-[6-[1-[2-[(1,2,3,4-tetrahydro-9-acridinyl)amino]ethyl]-1h-1,2,3-triazol-4-yl]hexyl]-phenanthridinium",ACHE,43
immucillin-g,PNP,4860
s-ethylisothiourea,NOS2,4843
s-ethylisothiourea,NOS3,4846
l-methionine (r)-s-oxide,APP,351
glycinamide ribonucleotide,GART,2618
laevulinic acid,ALAD,210
quinacrine mustard,TPR,7175
4-morpholin-4-yl-piperidine-1-carboxylic acid [1-(3-benzenesulfonyl-1-propyl-allylcarbamoyl)-2-phenylethyl]-amide,CTSF,8722
2-ethoxyethanol,ADH1C,126
ilomastat,ADAM28,10863
ilomastat,ACAN,176
sr11254,RARG,5916
"3-(3,5-dibromo-4-hydroxy-benzoyl)-2-ethyl-benzofuran-6-sulfonic acid (4-sulfamoyl-phenyl)-amide",PTPN1,5770
4-oxosebacic acid,ALAD,210
platelet activating factor,GM2A,2760
platelet activating factor,PTAFR,5724
orotic acid,DHODH,1723
o2-sulfo-glucuronic acid,FGF1,2246
o2-sulfo-glucuronic acid,HGF,3082
o2-sulfo-glucuronic acid,HS3ST3A1,9955
flufenamic acid,PTGS2,5743
flufenamic acid,PTGS1,5742
flufenamic acid,AKR1C3,8644
flufenamic acid,AR,367
flufenamic acid,PPARA,5465
flufenamic acid,PPARG,5468
argininosuccinate,ASL,435
[4-({[5-benzyloxy-1-(3-carbamimidoyl-benzyl)-1h-indole-2-carbonyl]-amino}-methyl)-phenyl]-trimethyl-ammonium,PRSS1,5644
s-(2-oxo)pentadecylcoa,NMT2,9397
porphobilinogen,ALAD,210
1-(5-tert-butyl-2-methyl-2h-pyrazol-3-yl)-3-(4-chloro-phenyl)-urea,MAPK14,1432
benzoylformic acid,HAO1,54363
formycin,MTAP,4507
5'-s-methyl-5'-thioadenosine,MTAP,4507
protoporphyrin,FTL,2512
2-(2-hydroxy-phenyl)-3h-benzoimidazole-5-carboxamidine,F2,2147
2-(2-hydroxy-phenyl)-3h-benzoimidazole-5-carboxamidine,PRSS1,5644
2-(2-hydroxy-phenyl)-3h-benzoimidazole-5-carboxamidine,PLAU,5328
cra-9334,PRSS1,5644
irosustat,CA2,760
irosustat,STS,412
isoamyl alcohol,REN,5972
2-amino-6-chloropyrazine,CDK2,1017
arginineamide,KCNA4,3739
calcipotriol,VDR,7421
